CAPCA_CHAPE_CALAN,EURHE_PHALE,MESUN_PTEGU,EGRGA_FULGL_GAVST_NIPNI_PELCR_PHACA_PYGAD_APTFO,APAVI_BUCRH_CARCR_CATAU_COLST_FALPE_HALLE_HALAL_LEPDI_NESNO_MELUN_PICPU_MERNU_TAEGU_MANVI_GEOFO_CORBR_ACACH_TYTAL,BALRE,CHAVO,CHLUN,COLLI,CUCCA,OPHHO,PODCR_PHORU,TAUER
0,0,0,0,B,0,1,?,0,0,?,0,0
0,0,0,0,0,1,0,1,0,?,1,1,1
0,1,0,1,1,1,0,0,0,0,0,0,0
0,0,1,1,B,0,0,1,0,0,0,0,0
1,1,0,1,1,1,1,1,?,1,1,0,1
0,0,0,0,B,0,0,?,0,1,0,0,0
0,1,0,0,B,0,1,?,1,1,?,0,1
0,0,0,0,0,0,1,1,1,0,?,1,?
0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,B,B,0,0,?,0,0,0,0,0
0,0,0,B,1,1,?,?,?,?,?,0,?
0,1,1,1,1,1,0,1,0,?,0,0,?
0,0,0,0,0,1,0,0,0,?,0,1,1
1,0,0,0,0,1,0,0,?,0,?,1,0
?,0,?,0,0,1,0,0,0,?,0,1,0
1,0,0,0,1,1,0,0,0,0,?,0,?
1,0,0,B,0,1,0,0,0,0,0,0,1
?,1,0,1,0,1,0,?,?,?,?,0,?
0,0,0,0,0,1,0,1,0,?,0,0,0
?,0,0,1,0,1,0,0,?,0,0,0,?
?,1,0,0,0,0,0,1,?,0,0,0,?
0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,?,0,B,1,0,0,0,0,0,0,?
1,0,0,0,0,1,0,0,0,1,0,1,?
?,0,0,1,0,1,0,?,?,?,?,1,0
0,0,0,0,B,1,0,0,0,0,0,0,0
?,1,0,1,1,1,1,1,?,1,1,0,1
0,1,1,1,0,1,0,?,0,0,0,?,0
0,B,0,0,0,0,1,0,1,0,?,1,0
0,0,0,0,0,1,0,0,0,0,0,1,1
0,0,0,0,0,1,0,1,0,0,0,1,0
0,?,1,0,0,1,1,?,1,?,?,0,0
?,0,0,1,0,1,?,?,?,?,?,1,1
0,0,B,0,B,1,0,?,0,1,0,0,0
0,B,0,B,0,1,0,0,0,0,0,0,0
0,0,0,B,B,0,0,0,0,0,0,0,0
1,0,B,1,0,1,0,1,?,1,?,0,0
1,B,0,B,1,1,0,1,?,0,0,0,1
1,B,0,0,0,?,0,?,?,?,0,0,0
1,?,1,1,0,1,1,0,1,?,1,1,1
1,0,0,1,1,?,?,0,?,?,1,0,?
1,B,?,1,1,0,?,?,0,?,0,0,?
0,1,0,B,B,0,1,1,1,0,?,0,1
0,0,0,0,0,1,0,0,?,?,?,1,?
?,1,0,1,1,0,1,?,?,0,0,0,0
?,?,0,0,0,0,1,?,0,?,?,1,0
0,0,B,0,1,1,1,0,0,0,0,0,0
1,0,0,1,0,?,?,0,0,0,0,0,?
1,1,1,1,0,1,?,?,?,1,?,1,?
1,1,0,1,0,0,0,?,0,0,1,0,0
1,0,0,0,1,?,?,0,0,0,0,1,1
1,0,1,0,0,0,0,1,0,0,0,0,0
B,0,0,0,1,?,0,0,0,?,0,0,0
?,1,1,1,0,0,0,1,?,?,1,0,?
B,0,B,0,0,0,0,0,0,0,0,0,0
0,0,0,B,0,0,0,?,0,?,1,1,1
0,1,0,0,B,1,0,?,0,0,?,0,0
0,B,0,1,0,0,0,0,0,?,0,0,0
1,0,0,0,1,0,0,1,1,1,0,0,0
0,0,0,0,1,0,0,?,0,?,?,0,1
1,?,0,0,1,?,0,?,?,?,0,0,?
1,0,0,B,0,0,0,0,0,0,0,0,0
1,0,?,1,B,0,0,?,?,?,0,0,?
1,1,1,0,0,0,0,0,?,?,0,0,?
1,0,?,0,B,1,0,?,?,?,0,0,0
1,0,0,0,0,?,0,0,0,0,0,0,1
1,1,0,0,0,?,?,?,0,?,?,1,?
1,1,0,0,0,0,0,1,0,0,0,0,?
1,0,?,B,1,?,0,0,0,?,0,0,0
1,0,0,0,0,1,1,1,?,?,?,?,1
B,1,0,0,0,0,0,0,?,0,0,0,0
0,1,0,0,0,0,1,0,0,0,1,0,0
1,0,0,B,0,0,1,0,0,0,0,0,0
0,1,1,0,0,1,1,0,?,0,0,0,0
1,1,1,0,0,1,0,1,?,?,?,1,1
0,1,0,1,1,1,1,?,0,1,0,1,1
?,1,?,0,0,0,1,?,?,?,?,0,1
0,1,?,0,0,0,1,1,0,?,0,1,0
1,?,0,0,0,1,1,1,0,1,0,?,1
0,1,B,1,0,?,1,1,0,?,0,0,0
0,0,B,1,1,?,1,1,0,0,0,0,?
?,1,0,1,0,?,1,?,?,0,0,0,1
?,B,0,0,0,0,1,?,?,?,0,0,0
1,0,0,0,0,1,1,?,0,0,0,0,1
0,B,0,1,0,0,1,0,0,?,?,0,?
?,0,0,B,1,?,1,?,0,?,0,1,?
0,0,1,0,1,0,1,0,0,0,0,1,1
0,0,0,B,0,0,0,0,1,0,0,0,0
0,1,0,0,0,1,1,?,0,0,0,1,0
0,0,0,B,0,0,1,0,0,?,0,0,?
0,0,0,0,1,0,1,0,?,?,0,0,?
?,0,0,1,0,1,1,1,0,?,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,B,0,?,1,?,?,?,0,0,0
0,0,0,1,1,0,1,0,?,?,0,1,0
0,1,0,B,0,0,1,0,?,?,0,0,1
0,0,0,0,B,?,1,0,0,?,0,0,?
1,0,0,1,0,1,1,0,0,1,0,0,0
1,1,0,1,B,1,1,1,0,1,0,?,1
?,0,?,0,0,?,1,0,?,?,0,1,?
0,0,?,?,1,0,1,?,0,1,0,1,?
1,0,1,1,B,?,1,0,0,?,0,?,0
?,0,0,0,1,?,1,0,?,?,?,0,0
1,1,?,1,0,0,1,0,?,1,?,1,0
0,0,0,B,0,?,0,1,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0
0,0,0,B,1,0,0,1,0,?,0,0,1
0,0,0,B,0,0,0,1,0,0,0,0,0
0,B,0,0,0,0,0,1,0,0,0,0,?
0,0,0,0,0,0,0,1,0,0,0,0,1
0,1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,1,?,0,0,0,0
0,0,0,B,0,1,0,1,?,?,1,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0
?,1,1,0,0,0,0,1,?,?,0,1,?
0,0,0,0,0,0,0,1,0,0,0,0,1
?,0,0,0,0,0,0,1,?,0,0,0,1
?,0,0,0,0,0,0,1,0,0,0,?,1
?,1,1,1,0,1,?,0,1,?,0,0,0
0,?,1,0,0,0,0,1,?,?,0,?,0
0,0,0,B,B,?,0,?,0,1,0,1,?
0,0,?,0,1,?,0,0,0,?,0,1,0
1,0,0,?,1,0,0,?,?,0,?,?,1
0,?,0,B,0,1,1,0,0,?,0,0,1
?,1,0,1,1,0,?,0,?,?,?,0,?
0,0,0,1,B,0,0,1,?,?,1,?,0
?,?,?,0,0,0,?,1,0,1,?,?,1
0,1,0,B,0,0,0,?,?,?,0,0,0
1,1,?,0,1,1,1,?,?,?,?,1,?
1,1,0,1,B,0,0,0,0,0,0,0,0
1,0,1,0,0,1,0,?,1,1,?,1,0
0,1,?,0,1,?,1,?,1,?,0,0,0
?,?,1,0,0,1,0,?,1,?,?,1,1
?,?,1,0,0,1,0,?,1,?,?,1,1
0,?,B,0,0,0,0,1,1,?,0,?,0
0,0,0,1,0,1,1,0,0,?,0,0,0
0,0,0,0,0,0,0,0,1,0,0,1,?
0,0,B,0,0,0,0,0,1,0,0,0,0
0,0,0,0,B,0,0,0,1,0,0,0,0
0,1,?,0,0,0,0,?,1,?,0,0,?
1,1,?,1,0,1,1,1,1,1,0,1,1
0,0,0,B,B,1,?,0,1,?,?,1,?
1,B,1,1,0,0,0,1,1,0,0,0,0
0,0,1,0,0,0,0,0,1,?,0,0,0
1,1,0,1,0,1,1,1,?,1,?,?,1
?,0,?,1,1,1,1,1,1,?,1,1,?
0,0,0,0,0,0,0,?,1,1,0,1,0
0,1,0,B,0,0,0,1,1,1,0,0,1
0,0,0,0,0,1,0,0,1,?,?,0,?
0,0,1,0,0,0,0,1,1,1,?,0,1
1,0,1,1,0,1,0,1,1,1,0,1,?
0,0,0,0,0,0,0,1,1,0,0,0,0
?,0,1,0,0,0,?,1,1,?,1,1,1
?,?,0,0,0,?,0,0,1,1,0,?,1
?,?,0,0,0,?,?,1,1,?,?,0,0
0,1,?,1,1,1,0,0,1,1,1,0,1
1,?,0,1,B,1,1,1,1,1,0,0,1
0,0,0,0,0,0,0,0,1,1,0,0,0
?,0,?,1,0,0,0,1,1,1,0,0,1
?,1,?,0,1,1,1,0,?,?,1,1,0
1,1,1,1,1,1,1,1,1,?,0,0,0
0,1,B,0,0,0,0,0,1,?,0,1,1
1,1,0,0,0,0,0,0,0,?,1,0,0
0,0,0,B,0,?,0,0,1,?,0,0,0
0,B,?,0,B,?,?,1,1,?,0,1,0
1,1,1,1,0,1,1,1,1,?,?,1,1
1,0,0,0,0,0,0,?,1,0,?,0,1
0,0,0,0,B,0,0,0,1,?,0,0,0
0,0,1,0,0,0,?,1,1,?,?,0,0
0,0,0,0,0,0,1,0,1,1,0,0,0
1,0,0,0,0,0,0,1,1,?,0,0,1
?,?,0,0,0,0,?,?,?,1,?,?,1
0,0,0,0,0,?,?,0,?,1,0,1,?
1,B,1,1,0,0,0,0,0,1,0,1,1
0,1,?,0,0,?,?,?,?,1,1,0,?
?,0,0,0,0,0,0,0,0,1,?,0,1
0,0,0,0,1,0,0,?,0,1,0,1,0
0,0,0,0,0,0,0,1,?,1,?,?,1
0,?,0,1,0,0,0,0,0,1,0,0,0
0,0,1,1,0,?,0,0,?,1,0,0,?
0,0,?,0,0,?,?,1,?,1,?,?,0
0,0,0,1,0,0,0,0,0,1,?,0,?
?,?,0,0,0,1,1,1,?,1,?,0,?
0,1,0,B,0,0,0,0,?,1,?,1,0
?,B,0,0,0,?,0,?,0,1,0,0,?
0,0,?,0,0,0,?,0,?,1,0,0,1
0,1,?,1,B,0,?,0,?,0,0,0,0
0,0,0,0,0,0,0,0,1,0,1,0,?
0,1,0,0,0,1,1,0,?,0,?,0,?
0,1,0,1,0,?,0,0,0,0,0,0,0
0,?,?,1,0,?,1,?,0,?,0,0,?
0,?,?,0,B,?,0,0,0,?,1,0,?
0,1,0,1,0,?,0,?,?,?,0,0,?
1,0,1,0,0,0,1,0,0,0,1,1,0
1,0,0,0,0,0,0,1,0,1,0,0,0
B,0,0,0,0,0,1,0,0,0,0,0,0
0,0,B,B,0,0,?,0,0,0,0,0,0
?,?,1,B,0,?,1,0,?,?,?,0,?
1,0,0,B,1,1,1,?,1,1,1,1,1
0,0,0,B,B,0,0,0,?,0,0,0,?
1,0,0,B,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,?,1,0,?
0,?,1,B,0,?,0,0,0,?,?,0,?
0,1,?,1,0,0,0,?,?,0,?,0,?
0,1,0,1,0,0,0,0,0,?,0,0,0
1,0,?,1,0,0,0,0,?,0,0,0,?
?,1,0,0,0,0,1,?,0,?,?,0,?
0,0,0,0,0,0,?,1,0,?,0,0,1
0,0,0,B,0,0,1,0,0,0,0,0,0
?,0,1,1,0,0,0,?,0,0,0,0,0
0,0,B,0,0,0,0,0,0,1,0,0,0
1,0,1,1,1,1,0,1,1,1,0,1,1
0,0,1,0,1,0,0,0,0,0,0,0,0
0,0,0,B,1,0,0,?,?,0,0,0,0
0,B,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,0,B,0,0,1,0,0,0,0,0
0,0,0,0,B,0,0,0,?,0,?,0,1
B,0,B,0,1,1,0,?,1,?,0,?,1
0,0,0,1,0,1,0,?,0,?,1,0,0
0,0,0,B,1,0,0,1,0,0,0,1,0
0,1,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,1,0
0,B,0,0,B,?,0,0,?,0,?,0,?
0,1,0,0,0,0,0,0,0,0,0,0,1
1,B,1,B,1,1,1,?,1,1,1,1,?
0,1,0,0,1,0,0,0,?,0,0,0,0
0,0,0,0,0,0,0,1,0,1,0,1,0
0,0,0,1,1,0,0,0,0,0,0,0,0
0,1,0,0,1,0,?,0,0,0,?,1,0
0,0,0,B,B,0,0,?,?,?,0,0,0
0,0,0,B,0,0,0,0,1,0,?,0,0
0,0,0,0,B,0,0,1,0,0,?,0,1
1,0,B,0,0,0,0,1,?,1,0,0,?
?,1,1,0,0,0,0,0,1,?,1,0,1
0,B,0,1,1,0,0,0,?,?,0,0,?
1,0,?,0,1,1,0,?,0,?,0,0,0
0,B,0,0,B,0,0,0,0,0,0,0,0
0,0,1,0,1,0,?,0,0,0,0,1,0
0,0,0,B,0,0,0,0,0,0,0,1,1
1,1,B,0,1,0,?,?,0,?,0,1,0
0,1,0,B,1,0,?,0,0,0,1,1,1
0,0,0,1,1,?,?,0,0,?,?,0,1
B,1,1,0,0,0,0,1,1,1,0,0,0
0,0,B,0,1,0,0,0,0,?,0,0,0
0,0,0,0,0,?,0,1,0,0,0,0,1
0,0,0,B,1,0,0,1,0,0,0,0,1
B,0,0,0,B,0,0,0,0,0,0,0,0
0,0,B,0,1,0,0,0,0,0,?,0,0
1,0,0,1,0,1,?,0,?,1,0,0,0
1,?,1,1,1,?,1,0,1,1,1,?,?
1,?,0,B,1,0,0,1,?,?,?,0,1
?,0,?,1,0,0,1,0,?,?,?,?,?
1,1,0,1,1,1,1,1,0,1,1,0,?
0,0,1,0,0,0,0,?,?,0,?,1,0
1,1,0,1,1,1,1,0,1,?,1,0,0
0,0,1,1,0,0,0,0,0,?,1,1,0
0,1,0,0,0,0,0,0,0,0,1,0,0
1,?,0,0,1,0,?,0,?,?,0,0,0
0,0,0,1,0,1,0,1,0,0,1,0,1
0,0,0,0,1,0,0,0,1,0,1,1,0
?,0,0,0,B,?,1,?,?,?,?,0,1
?,0,1,0,B,?,0,0,0,?,1,0,?
0,0,0,0,1,0,0,?,0,0,1,?,1
0,?,0,1,0,0,0,0,0,?,1,0,?
0,1,?,B,0,1,?,?,?,?,1,0,?
1,?,0,0,0,0,?,?,?,?,1,0,0
0,1,?,0,0,?,?,?,1,1,1,0,?
1,0,1,B,0,?,1,0,0,?,1,1,1
1,B,?,0,0,?,0,0,0,?,1,1,0
0,1,1,B,0,1,0,?,0,?,1,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0
?,0,0,0,1,0,1,0,?,?,1,0,0
1,0,0,1,1,1,1,1,0,1,1,1,1
0,1,0,0,0,0,1,?,0,0,1,0,0
0,1,1,1,1,?,?,1,1,?,1,1,?
1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,0,1,1,?,1,?,?,?,1,1,1
0,1,0,0,0,0,0,1,1,1,1,1,1
0,?,0,0,0,0,0,?,0,?,1,1,?
1,0,?,1,0,?,?,1,0,1,1,0,1
B,0,0,B,B,1,0,0,0,0,0,0,?
1,0,1,1,0,1,0,?,0,?,1,0,?
1,0,?,1,B,1,1,1,0,1,1,0,?
1,1,0,0,B,0,0,?,?,?,1,0,0
?,?,1,1,1,?,1,?,1,?,1,1,0
1,1,1,1,1,0,1,1,1,1,1,?,0
0,0,1,0,0,?,0,1,0,?,0,?,?
B,0,?,0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,?,0,1,0,0,1,0,?
0,0,0,0,1,1,0,0,?,0,1,0,0
1,0,1,B,1,1,1,1,?,?,1,0,1
1,0,0,1,B,?,1,0,0,?,1,0,1
0,1,0,1,0,1,1,1,1,1,1,1,0
1,1,0,1,B,?,1,?,0,1,1,1,?
1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,0,1,B,1,0,?,?,?,1,0,1
0,0,0,0,1,0,0,0,0,1,1,1,0
?,1,1,1,1,1,1,1,1,1,1,0,1
1,0,1,B,0,1,0,1,?,?,1,1,0
0,1,B,0,0,1,1,0,0,1,1,1,0
?,1,0,B,0,?,1,?,?,?,1,0,0
?,0,0,B,0,?,1,?,?,0,1,0,0
1,1,0,1,1,1,1,1,1,1,1,1,1
0,1,1,0,0,1,1,1,?,?,1,1,1
0,1,0,0,0,0,0,?,0,?,1,0,0
0,0,0,1,1,1,0,0,0,1,1,0,0
1,1,?,1,1,1,1,1,?,1,1,0,1
0,1,?,0,0,1,0,0,0,?,1,0,0
?,0,0,1,1,0,1,1,?,?,0,1,1
0,0,?,B,0,0,0,1,?,1,0,1,0
B,0,1,1,0,0,1,0,0,0,1,0,?
0,1,1,B,B,1,1,1,1,?,1,1,1
0,0,0,1,0,?,1,1,?,0,1,0,0
1,1,0,1,1,1,1,1,?,?,1,0,1
1,1,1,0,0,0,0,1,0,0,1,?,0
0,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,1,0,0,0,1,?,1,1,0
1,?,1,1,1,1,1,1,0,?,1,1,1
0,0,0,1,0,1,1,0,0,1,1,0,1
?,?,?,B,0,1,0,?,?,0,1,1,?
1,1,0,0,1,1,0,1,1,?,1,1,0
?,0,1,0,1,0,0,0,?,?,1,0,0
0,1,1,1,0,0,0,0,?,?,1,1,?
1,1,?,1,1,1,0,?,1,1,1,1,1
0,0,0,0,0,1,0,0,?,1,0,1,1
0,B,1,1,1,0,1,0,0,?,1,0,0
?,?,1,B,0,1,?,0,?,?,1,1,?
1,0,1,1,0,1,0,?,1,0,1,1,0
0,1,?,0,1,1,0,?,?,?,1,?,1
1,1,1,1,1,1,?,1,0,?,1,0,?
1,1,0,1,0,1,1,1,1,?,1,1,1
1,1,?,?,0,1,1,1,?,?,1,1,?
?,0,?,1,1,1,1,0,?,?,1,0,?
1,0,0,0,0,0,0,1,0,0,?,0,?
B,0,0,B,0,0,0,0,0,0,0,0,0
0,1,0,B,0,?,0,0,?,0,0,0,0
0,0,0,0,0,?,1,0,?,1,0,0,0
1,0,0,0,0,0,0,0,?,0,1,0,0
1,B,0,1,0,0,0,0,0,?,0,1,0
0,0,1,B,0,0,0,0,0,0,0,0,0
0,0,0,B,0,0,0,1,0,0,0,0,0
0,0,0,1,B,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1,0
0,1,?,B,0,0,0,?,0,?,?,?,?
0,0,0,0,B,1,0,?,1,0,0,0,1
0,0,0,B,0,0,0,1,0,0,0,0,0
0,0,0,B,0,1,0,0,?,0,0,0,0
0,0,0,B,0,1,0,0,0,0,0,0,0
1,B,0,0,1,?,1,0,1,1,0,1,1
B,0,0,B,0,0,0,?,?,0,0,0,0
0,1,B,B,0,?,0,1,0,?,0,1,0
?,B,0,0,0,0,1,1,0,?,0,0,?
0,0,0,B,B,0,0,0,0,0,0,0,0
1,0,1,1,0,0,?,0,?,?,0,0,1
1,?,0,1,1,1,1,?,0,?,1,0,1
0,0,0,0,0,0,1,0,0,?,0,0,1
0,0,1,B,B,1,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0
0,B,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,?,0,1,?,0,1,?
0,0,0,0,0,0,0,0,0,?,0,1,1
0,B,0,0,0,?,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,?,0,1,0
0,?,1,0,0,0,0,0,?,0,0,1,0
1,B,0,B,1,0,1,?,1,?,0,0,?
0,0,0,0,0,1,0,0,?,?,?,1,?
B,0,0,0,0,0,0,0,0,0,?,1,0
0,0,1,0,0,0,0,0,0,?,0,1,?
0,0,B,1,0,0,0,?,0,0,?,1,1
0,?,0,0,0,1,?,0,?,?,?,1,?
1,0,1,0,0,1,0,0,?,1,1,0,1
0,0,0,B,B,0,0,0,0,0,?,0,0
0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,?,0,0,1,?,0,0,0,0,0,1
0,0,0,0,B,1,0,0,0,0,0,0,0
0,?,1,0,1,?,0,?,?,?,?,0,?
0,0,1,0,0,0,0,1,1,1,0,0,0
0,0,0,1,0,0,0,?,?,0,0,0,1
1,0,0,1,1,1,?,?,1,?,1,1,1
0,1,1,0,1,0,0,0,0,0,0,0,0
B,0,0,0,B,0,1,0,1,0,0,1,0
1,0,0,0,1,0,?,0,?,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,0,1
0,1,0,0,B,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,?,?,0,0,0
1,0,0,1,1,0,0,?,0,0,0,0,1
B,0,0,0,1,0,0,1,0,1,0,0,0
0,1,1,1,0,1,1,1,0,0,0,1,0
